Month,Category,Amount
2025-08,Groceries,540.05
2025-08,Dining,345.90
2025-08,Subscriptions,78.79
2025-08,Gas,230.89
2025-08,Utilities,337.10
2025-08,Entertainment,151.72
2025-08,Shopping,269.13
2025-08,Insurance,310.00
2025-09,Groceries,557.13
2025-09,Dining,415.72
2025-09,Subscriptions,83.46
2025-09,Gas,226.42
2025-09,Utilities,242.59
2025-09,Entertainment,125.27
2025-09,Shopping,141.04
2025-09,Insurance,310.00
2025-10,Groceries,625.51
2025-10,Dining,422.67
2025-10,Subscriptions,86.43
2025-10,Gas,216.93
2025-10,Utilities,323.50
2025-10,Entertainment,145.04
2025-10,Shopping,251.59
2025-10,Insurance,310.00
2025-11,Groceries,577.36
2025-11,Dining,222.96
2025-11,Subscriptions,93.28
2025-11,Gas,230.58
2025-11,Utilities,288.50
2025-11,Entertainment,187.69
2025-11,Shopping,297.07
2025-11,Insurance,310.00
2025-12,Groceries,600.10
2025-12,Dining,585.00
2025-12,Subscriptions,96.32
2025-12,Gas,202.58
2025-12,Utilities,283.44
2025-12,Entertainment,102.08
2025-12,Shopping,246.15
2025-12,Insurance,310.00
2026-01,Groceries,570.84
2026-01,Dining,235.54
2026-01,Subscriptions,100.14
2026-01,Gas,224.80
2026-01,Utilities,272.05
2026-01,Entertainment,178.22
2026-01,Shopping,166.02
2026-01,Insurance,310.00
2026-02,Groceries,699.27
2026-02,Dining,265.59
2026-02,Subscriptions,103.80
2026-02,Gas,211.41
2026-02,Utilities,241.37
2026-02,Entertainment,193.51
2026-02,Shopping,351.83
2026-02,Insurance,310.00
2026-03,Groceries,544.75
2026-03,Dining,252.15
2026-03,Subscriptions,107.84
2026-03,Gas,198.20
2026-03,Utilities,282.54
2026-03,Entertainment,94.49
2026-03,Shopping,405.08
2026-03,Insurance,310.00
2026-04,Groceries,662.93
2026-04,Dining,283.68
2026-04,Subscriptions,113.55
2026-04,Gas,190.22
2026-04,Utilities,330.57
2026-04,Entertainment,145.42
2026-04,Shopping,403.17
2026-04,Insurance,310.00
2026-05,Groceries,667.07
2026-05,Dining,427.72
2026-05,Subscriptions,116.57
2026-05,Gas,186.94
2026-05,Utilities,256.89
2026-05,Entertainment,128.08
2026-05,Shopping,203.40
2026-05,Insurance,310.00
2026-06,Groceries,630.68
2026-06,Dining,376.61
2026-06,Subscriptions,120.47
2026-06,Gas,165.29
2026-06,Utilities,304.12
2026-06,Entertainment,134.36
2026-06,Shopping,244.07
2026-06,Insurance,310.00
2026-07,Groceries,560.02
2026-07,Dining,322.79
2026-07,Subscriptions,124.33
2026-07,Gas,169.97
2026-07,Utilities,305.23
2026-07,Entertainment,210.98
2026-07,Shopping,115.35
2026-07,Insurance,310.00
